text,category
"This is a tech blog.",Tech
"Sports news today.",Sports
"Recipes for food lovers.",Food
"The latest in technology.",Tech
"Football match highlights.",Sports
"Cooking tips and tricks.",Food
"New programming tutorials.",Tech
"Basketball season updates.",Sports
"How to bake a cake.",Food
"Top tech gadgets of 2023.",Tech
"Tennis championship results.",Sports
"Healthy dinner recipes.",Food
"AI advancements in 2023.",Tech
"Cricket game updates.",Sports
"Easy pasta recipe.",Food
"Blockchain technology insights.",Tech
"Baseball season preview.",Sports
"Delicious vegan desserts.",Food
"Understanding cloud computing.",Tech
"Winter Olympics highlights.",Sports
"Best smoothie recipes.",Food
"Cybersecurity trends.",Tech
"Soccer player rankings.",Sports
"BBQ tips and techniques.",Food
"Future of quantum computing.",Tech
"NBA playoffs analysis.",Sports
"Popular seafood dishes.",Food
"Data science for beginners.",Tech
"Golf tournament updates.",Sports
"Top salad recipes.",Food
"Machine learning basics.",Tech
"Rugby World Cup highlights.",Sports
"Quick breakfast ideas.",Food
"Software development trends.",Tech
"Boxing match analysis.",Sports
"Comfort food recipes.",Food
"Introduction to robotics.",Tech
"Famous marathon events.",Sports
"Gluten-free baking.",Food
"Augmented reality use cases.",Tech
"College basketball preview.",Sports
"International cuisines.",Food
"Programming in Python.",Tech
"Track and field results.",Sports
"Summer grilling tips.",Food
"Virtual reality gaming.",Tech
"Top 10 sports records.",Sports
"Holiday dessert recipes.",Food
"AI in healthcare.",Tech
"Formula 1 season review.",Sports
"Healthy snack options.",Food
